"";"Binomial";"Wood.density..kg.m3.";"identifiant"
"543";"Andira anthelmia";778;NA
"544";"Andira coriacea";732;NA
"545";"Andira fraxinifolia";920;NA
"546";"Andira indet";710;NA
"547";"Andira inermis";643,25;NA
"548";"Andira micrantha";1000;NA
"549";"Andira parviflora";716,75;NA
"550";"Andira surinamensis";704,75;NA
"551";"Andira unifoliolata";760;NA
"552";"Androstachys johnsonii";584,666666666667;NA
"553";"Angophora bakeri";589;NA
"554";"Angophora costata";782,333333333333;NA
"555";"Angophora floribunda";725,333333333333;NA
"556";"Angophora subvelutina";758;NA
"557";"Angophora woodsiana";762;NA
"558";"Aniba affinis";520;NA
"559";"Aniba amazonica";560;NA
"560";"Aniba burchellii";520;NA
"561";"Aniba canelilla";952,428571428571;NA
"562";"Aniba cylindriflora";669,5;NA
"563";"Aniba excelsa";551;NA
"564";"Aniba firmula";560;NA
"565";"Aniba guianensis";520;NA
"566";"Aniba hostmanniana";619;NA
"567";"Aniba hypoglauca";525;NA
"568";"Aniba indet";565;NA
"569";"Aniba panurensis";610;NA
"570";"Aniba parviflora";540;NA
"571";"Aniba perutilis";500;NA
"572";"Aniba puchury-minor";533,333333333333;NA
"573";"Aniba riparia";570;NA
"574";"Aniba rosaeodora";732,571428571429;NA
"575";"Aniba terminalis";540;NA
"576";"Aniba williamsii";637,5;NA
"577";"Anisophyllea apetala";770;NA
"578";"Anisophyllea beccariana";670;NA
"579";"Anisophyllea disticha";670;NA
"580";"Anisophyllea grandis";720;NA
"581";"Anisophyllea laurina";762;NA
"582";"Anisophyllea manausensis";860;NA
"583";"Anisophyllea obtusifolia";663;NA
"584";"Anisoptera aurea";555;NA
"585";"Anisoptera costata";553,333333333333;NA
"586";"Anisoptera curtisii";615;NA
"587";"Anisoptera grossivenia";585;NA
"588";"Anisoptera laevis";520;NA
"589";"Anisoptera marginata";526,666666666667;NA
"590";"Anisoptera megistocarpa";575;NA
"591";"Anisoptera oblonga";600;NA
"592";"Anisoptera polyandra";551;NA
"593";"Anisoptera scaphula";440;NA
"594";"Anisoptera thurifera";590;NA
"595";"Anneslea crassipes";670;NA
"596";"Anneslea fragrans";684,333333333333;NA
"597";"Annickia chlorantha";437,285714285714;NA
"598";"Annickia polycarpa";482;NA
"599";"Annona crassiflora";560;NA
"600";"Annona foetida";572;NA
"601";"Annona fraxinifolium";570;NA
"602";"Annona glabra";500;NA
"603";"Annona hypoglauca";380;NA
"604";"Annona muricata";360;NA
"605";"Annona reticulata";550;NA
"606";"Annona spraguei";559;NA
"607";"Annona squamosa";618;NA
"608";"Anodopetalum biglandulosum";610;NA
"609";"Anogeissus acuminata";880;NA
"610";"Anogeissus latifolia";780;NA
"611";"Anogeissus leiocarpa";800;NA
"612";"Anogeissus pendula";940;NA
"613";"Anogeissus phillyreaefolia";758;NA
"614";"Anogeissus sericea";740;NA
"615";"Anomospermum grandifolium";640;NA
"616";"Anonidium mannii";291;"bouamir_p3_423"
"617";"Anopyxis klaineana";799,909090909091;"bouamir_p16_49"
"618";"Anthocarapa nitidula";689;NA
"619";"Anthocleista grandiflora";578;NA
"620";"Anthocleista indet";536;NA
"621";"Anthocleista nobilis";499,333333333333;NA
"622";"Anthodiscus amazonicus";715;NA
"623";"Anthodiscus gutierrezii";640;NA
"624";"Anthodiscus peruanus";690;NA
"625";"Anthodiscus pilosus";690;NA
"626";"Anthonotha fragrans";529;NA
"627";"Anthonotha macrophylla";841,666666666667;"bouamir_p16_130"
"628";"Anthostema aubryanum";330;NA
"629";"Anthostema madagascariense";487,5;NA
"630";"Antiaris indet";380;NA
"631";"Antiaris toxicaria";383,052631578947;NA
"632";"Antidesma bunius";629,333333333333;NA
"633";"Antidesma celebicum";590;NA
"634";"Antidesma coriaceum";720;NA
"635";"Antidesma cuspidatum";800;NA
"636";"Antidesma erostre";732;NA
"637";"Antidesma ghaesembilla";610;NA
"638";"Antidesma montanum";590;NA
"639";"Antidesma pleuricum";624;NA
"640";"Antidesma subcordatum";680;NA
"641";"Antidesma tetrandum";600;NA
"642";"Antonia ovata";467,333333333333;NA
"643";"Antrocaryon klaineanum";526,2;NA
"644";"Antrocaryon micraster";487,666666666667;NA
"645";"Antrocaryon nannanii";482,5;NA
"646";"Aoranthe cladantha";806,5;NA
"647";"Aparisthmium cordatum";390;NA
"648";"Apeiba albiflora";245,4;NA
"649";"Apeiba aspera";303,166666666667;NA
"650";"Apeiba glabra";320;NA
"651";"Apeiba indet";200;NA
"652";"Apeiba intermedia";260;NA
"653";"Apeiba tibourbou";200;NA
"654";"Aphanamixis cumingiana";610;NA
"655";"Aphanamixis perrottetiana";545;NA
"656";"Aphanamixis polystachya";576,5;NA
"657";"Aphananthe aspera";520;NA
"658";"Aphananthe cuspidata";690;NA
"659";"Aphananthe philippinensis";577,333333333333;NA
"660";"Aphanocalyx heitzii";456,875;NA
"661";"Aphloia theiformis";620,5;NA
"662";"Apodocephala pauciflora";527;NA
"663";"Apodytes brachystylis";564;NA
"664";"Apodytes dimidiata";610;NA
"665";"Apollonias velutina";590;NA
"666";"Apoplanesia cryptopetala";860;NA
"667";"Apoplanesia paniculata";940;NA
"668";"Aporosa planchoniana";370;NA
"669";"Aporusa arborea";470;NA
"670";"Aporusa aurea";680;NA
"671";"Aporusa dioca";620;NA
"672";"Aporusa elmeri";600;NA
"673";"Aporusa falcifera";560;NA
"674";"Aporusa lagenocarpa";530;NA
"675";"Aporusa lucida";720;NA
"676";"Aporusa lunatum";685;NA
"677";"Aporusa maingayi";590;NA
"678";"Aporusa microcalyx";670;NA
"679";"Aporusa microsphaera";620;NA
"680";"Aporusa microstachya";670;NA
"681";"Aporusa prainiana";630;NA
"682";"Aporusa sphaeritophora";520;NA
"683";"Aporusa stellifera";770;NA
"684";"Aporusa symplocoides";640;NA
"685";"Aptandra tubicina";765;NA
"686";"Apuleia ferrea";1086;NA
"687";"Apuleia leiocarpa";799,25;NA
"688";"Apuleia molaris";750;NA
"689";"Aquilaria agallocha";327;NA
"690";"Aquilaria malaccensis";320;NA
"691";"Aquilaria sinensis";366;NA
"692";"Arachnothryx buddleioides";560;NA
"693";"Arapatiella psilophylla";870;NA
"694";"Araucaria angustifolia";480;NA
